t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
89.02,0.9612,100926,0,105000,0.9612,0.0000,0.9779,152784,1,156229,0.9779,0.0000
89.52,0.9612,100926,0,105000,0.9612,0.0000,0.9779,152784,1,156229,0.9779,0.0000
90.02,0.9612,100926,0,105000,0.9612,0.0000,0.9779,152784,1,156229,0.9779,0.0000
90.52,0.9613,84556,0,105000,0.8053,0.0000,0.9779,152784,1,156229,0.9779,0.0000
91.02,0.9613,92748,0,105000,0.8833,0.0000,0.9779,152784,1,156229,0.9779,0.0000
91.52,0.9613,100940,0,105000,0.9613,0.0000,0.9779,152784,1,156229,0.9779,0.0000
92.02,0.9613,100940,0,105000,0.9613,0.0000,0.9779,152784,1,156229,0.9779,0.0000
92.52,0.9613,100940,0,105000,0.9613,0.0000,0.9779,152784,1,156229,0.9779,0.0000
93.02,0.9613,100940,0,105000,0.9613,0.0000,0.9779,152784,1,156229,0.9779,0.0000
93.52,0.9613,100940,0,105000,0.9613,0.0000,0.9779,152784,1,156229,0.9779,0.0000
94.02,0.9612,84542,0,105000,0.8052,0.0000,0.9784,152857,1,156229,0.9784,0.0000
94.52,0.9612,92734,0,105000,0.8832,0.0000,0.9784,152857,1,156229,0.9784,0.0000
95.02,0.9612,92734,0,105000,0.8832,0.0000,0.9784,152857,1,156229,0.9784,0.0000
95.52,0.9612,100926,0,105000,0.9612,0.0000,0.9784,152857,1,156229,0.9784,0.0000
96.02,0.9612,100926,0,105000,0.9612,0.0000,0.9784,152857,1,156229,0.9784,0.0000
96.52,0.9612,100926,0,105000,0.9612,0.0000,0.9784,152857,1,156229,0.9784,0.0000
97.02,0.9612,100926,0,105000,0.9612,0.0000,0.9784,152857,1,156229,0.9784,0.0000
97.52,0.9610,84522,0,105000,0.8050,0.0000,0.9784,152857,1,156229,0.9784,0.0000
98.02,0.9610,84522,0,105000,0.8050,0.0000,0.9784,152857,1,156229,0.9784,0.0000
98.52,0.9610,92714,0,105000,0.8830,0.0000,0.9784,152857,1,156229,0.9784,0.0000
99.02,0.9610,100906,0,105000,0.9610,0.0000,0.9784,152857,1,156229,0.9784,0.0000
99.52,0.9610,100906,0,105000,0.9610,0.0000,0.9784,152857,1,156229,0.9784,0.0000
100.02,0.9610,100906,0,105000,0.9610,0.0000,0.9784,152857,1,156229,0.9784,0.0000
100.52,0.9610,100906,0,105000,0.9610,0.0000,0.9784,152857,1,156229,0.9784,0.0000
101.02,0.9610,100906,0,105000,0.9610,0.0000,0.9784,152857,1,156229,0.9784,0.0000
101.52,0.9609,84514,0,105000,0.8049,0.0000,0.9784,152855,1,156229,0.9784,0.0000
102.02,0.9609,92706,0,105000,0.8829,0.0000,0.9784,152855,1,156229,0.9784,0.0000
102.52,0.9609,100898,0,105000,0.9609,0.0000,0.9784,152855,1,156229,0.9784,0.0000
103.02,0.9609,100898,0,105000,0.9609,0.0000,0.9784,152855,1,156229,0.9784,0.0000
103.52,0.9609,100898,0,105000,0.9609,0.0000,0.9784,152855,1,156229,0.9784,0.0000
104.02,0.9609,100898,0,105000,0.9609,0.0000,0.9784,152855,1,156229,0.9784,0.0000
104.52,0.9609,100898,0,105000,0.9609,0.0000,0.9784,152855,1,156229,0.9784,0.0000
105.02,0.9610,84520,0,105000,0.8050,0.0000,0.9784,152855,1,156229,0.9784,0.0000
105.52,0.9610,92712,0,105000,0.8830,0.0000,0.9784,152855,1,156229,0.9784,0.0000
106.02,0.9610,92712,0,105000,0.8830,0.0000,0.9784,152855,1,156229,0.9784,0.0000
106.52,0.9610,100904,0,105000,0.9610,0.0000,0.9784,152855,1,156229,0.9784,0.0000
107.02,0.9610,100904,0,105000,0.9610,0.0000,0.9784,152855,1,156229,0.9784,0.0000
107.52,0.9610,100904,0,105000,0.9610,0.0000,0.9784,152855,1,156229,0.9784,0.0000
108.02,0.9610,100904,0,105000,0.9610,0.0000,0.9784,152855,1,156229,0.9784,0.0000
108.52,0.9612,84538,0,105000,0.8051,0.0000,0.9784,152855,1,156229,0.9784,0.0000
109.02,0.9612,92730,0,105000,0.8831,0.0000,0.9784,152855,1,156229,0.9784,0.0000
109.52,0.9612,92730,0,105000,0.8831,0.0000,0.9784,152855,1,156229,0.9784,0.0000
110.02,0.9612,100922,0,105000,0.9612,0.0000,0.9784,152855,1,156229,0.9784,0.0000
110.52,0.9612,100922,0,105000,0.9612,0.0000,0.9784,152855,1,156229,0.9784,0.0000
111.02,0.9612,100922,0,105000,0.9612,0.0000,0.9784,152855,1,156229,0.9784,0.0000
111.52,0.9612,100922,0,105000,0.9612,0.0000,0.9784,152855,1,156229,0.9784,0.0000
112.02,0.9604,84458,0,105000,0.8044,0.0000,0.9784,152855,1,156229,0.9784,0.0000
112.52,0.9604,84458,0,105000,0.8044,0.0000,0.9764,152543,1,156229,0.9764,0.0000
113.02,0.9604,92650,0,105000,0.8824,0.0000,0.9764,152543,1,156229,0.9764,0.0000
113.52,0.9604,100842,0,105000,0.9604,0.0000,0.9764,152543,1,156229,0.9764,0.0000
114.02,0.9604,100842,0,105000,0.9604,0.0000,0.9764,152543,1,156229,0.9764,0.0000
114.52,0.9604,100842,0,105000,0.9604,0.0000,0.9764,152543,1,156229,0.9764,0.0000
115.02,0.9604,100842,0,105000,0.9604,0.0000,0.9764,152543,1,156229,0.9764,0.0000
115.52,0.9604,100842,0,105000,0.9604,0.0000,0.9764,152543,1,156229,0.9764,0.0000
116.02,0.9595,84362,0,105000,0.8034,0.0000,0.9764,152543,1,156229,0.9764,0.0000
116.52,0.9595,92554,0,105000,0.8815,0.0000,0.9764,152543,1,156229,0.9764,0.0000
117.02,0.9595,100746,0,105000,0.9595,0.0000,0.9764,152543,1,156229,0.9764,0.0000
117.52,0.9595,100746,0,105000,0.9595,0.0000,0.9764,152543,1,156229,0.9764,0.0000
118.02,0.9595,100746,0,105000,0.9595,0.0000,0.9764,152543,1,156229,0.9764,0.0000
118.52,0.9595,100746,0,105000,0.9595,0.0000,0.9764,152543,1,156229,0.9764,0.0000
119.02,0.9595,100746,0,105000,0.9595,0.0000,0.9764,152543,1,156229,0.9764,0.0000
119.52,0.9581,84218,0,105000,0.8021,0.0000,0.9756,152420,1,156229,0.9756,0.0000
120.02,0.9581,92410,0,105000,0.8801,0.0000,0.9756,152420,1,156229,0.9756,0.0000
120.52,0.9581,92410,0,105000,0.8801,0.0000,0.9756,152420,1,156229,0.9756,0.0000
121.02,0.9581,100602,0,105000,0.9581,0.0000,0.9756,152420,1,156229,0.9756,0.0000
121.52,0.9581,100602,0,105000,0.9581,0.0000,0.9756,152420,1,156229,0.9756,0.0000
122.02,0.9581,100602,0,105000,0.9581,0.0000,0.9756,152420,1,156229,0.9756,0.0000
122.52,0.9581,100602,0,105000,0.9581,0.0000,0.9756,152420,1,156229,0.9756,0.0000
123.02,0.9584,84250,0,105000,0.8024,0.0000,0.9756,152420,1,156229,0.9756,0.0000
123.52,0.9584,92442,0,105000,0.8804,0.0000,0.9756,152420,1,156229,0.9756,0.0000
124.02,0.9584,92442,0,105000,0.8804,0.0000,0.9756,152420,1,156229,0.9756,0.0000
124.52,0.9584,100634,0,105000,0.9584,0.0000,0.9756,152420,1,156229,0.9756,0.0000
125.03,0.9584,100634,0,105000,0.9584,0.0000,0.9756,152420,1,156229,0.9756,0.0000
125.53,0.9584,100634,0,105000,0.9584,0.0000,0.9756,152420,1,156229,0.9756,0.0000
126.03,0.9584,100634,0,105000,0.9584,0.0000,0.9756,152420,1,156229,0.9756,0.0000
126.53,0.9658,76071,0,105000,0.7245,0.0050,0.9756,152420,1,156229,0.9756,0.0000
127.03,0.9585,84263,0,105000,0.8025,0.0000,0.9756,152420,1,156229,0.9756,0.0000
127.53,0.9585,92455,0,105000,0.8805,0.0000,0.9756,152420,1,156229,0.9756,0.0000
128.03,0.9585,100647,0,105000,0.9585,0.0000,0.9756,152420,1,156229,0.9756,0.0000
128.53,0.9585,100647,0,105000,0.9585,0.0000,0.9756,152420,1,156229,0.9756,0.0000
129.03,0.9585,100647,0,105000,0.9585,0.0000,0.9756,152420,1,156229,0.9756,0.0000
129.53,0.9585,100647,0,105000,0.9585,0.0000,0.9756,152420,1,156229,0.9756,0.0000
130.03,0.9585,100647,0,105000,0.9585,0.0000,0.9756,152420,1,156229,0.9756,0.0000
130.53,0.9585,84262,0,105000,0.8025,0.0000,0.9743,152216,1,156229,0.9743,0.0000
131.03,0.9585,92454,0,105000,0.8805,0.0000,0.9743,152216,1,156229,0.9743,0.0000
131.53,0.9585,100646,0,105000,0.9585,0.0000,0.9743,152216,1,156229,0.9743,0.0000
132.03,0.9585,100646,0,105000,0.9585,0.0000,0.9743,152216,1,156229,0.9743,0.0000
132.53,0.9585,100646,0,105000,0.9585,0.0000,0.9743,152216,1,156229,0.9743,0.0000
133.03,0.9585,100646,0,105000,0.9585,0.0000,0.9743,152216,1,156229,0.9743,0.0000
133.53,0.9585,100646,0,105000,0.9585,0.0000,0.9743,152216,1,156229,0.9743,0.0000
134.03,0.9582,84232,0,105000,0.8022,0.0000,0.9743,152216,1,156229,0.9743,0.0000
134.53,0.9582,92424,0,105000,0.8802,0.0000,0.9743,152216,1,156229,0.9743,0.0000
135.03,0.9582,92424,0,105000,0.8802,0.0000,0.9743,152216,1,156229,0.9743,0.0000
135.53,0.9582,100616,0,105000,0.9582,0.0000,0.9743,152216,1,156229,0.9743,0.0000
136.03,0.9582,100616,0,105000,0.9582,0.0000,0.9743,152216,1,156229,0.9743,0.0000
136.53,0.9582,100616,0,105000,0.9582,0.0000,0.9743,152216,1,156229,0.9743,0.0000
137.03,0.9582,100616,0,105000,0.9582,0.0000,0.9743,152216,1,156229,0.9743,0.0000
137.53,0.9576,84166,0,105000,0.8016,0.0000,0.9743,152216,1,156229,0.9743,0.0000
