elapsed_s,gpu_hbm_mb,gpu0_hbm_mb,gpu1_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,rss_plus_cache_mb,n_pids
64.1,75552.0,31864.0,43688.0,20118.6,16730.0,6149.2,5269.8,0.0,120103.3,0.0,10251.7,135395.8,557667.9,693063.6,467691.9,1031900.8,140221.9,42
65.1,75552.0,31864.0,43688.0,20126.6,16738.0,6157.2,5277.8,0.0,120103.3,0.0,10253.7,135395.7,557672.8,693068.5,467686.9,1031900.8,140229.9,42
66.1,75552.0,31864.0,43688.0,20124.6,16736.0,6155.2,5275.8,0.0,120103.3,0.0,10253.7,135395.7,557666.3,693062.0,467693.4,1031900.8,140227.9,42
67.1,75552.0,31864.0,43688.0,20128.6,16740.0,6159.2,5279.8,0.0,120103.3,0.0,10254.1,135395.7,557662.2,693057.9,467697.5,1031900.8,140231.9,42
68.1,75552.0,31864.0,43688.0,20104.6,16716.0,6135.2,5255.8,0.0,120103.3,0.0,10255.8,135395.7,557664.8,693060.5,467694.9,1031900.8,140207.9,42
69.1,75552.0,31864.0,43688.0,20104.6,16716.0,6135.2,5255.8,0.0,120103.3,0.0,10255.8,135395.7,557667.7,693063.4,467692.0,1031900.8,140207.9,42
70.1,75552.0,31864.0,43688.0,20104.6,16716.0,6135.2,5255.8,0.0,120103.3,0.0,10256.2,135395.7,557679.3,693075.0,467680.4,1031900.8,140207.9,42
71.1,75552.0,31864.0,43688.0,20115.2,16726.6,6145.8,5266.4,0.0,120103.3,0.0,10258.6,135396.2,557679.1,693075.3,467680.6,1031900.8,140218.5,42
72.1,75552.0,31864.0,43688.0,20115.3,16726.6,6145.8,5266.5,0.0,120103.3,0.0,10259.3,135395.9,557684.2,693080.1,467675.5,1031900.8,140218.6,42
73.1,75552.0,31864.0,43688.0,20109.3,16720.6,6139.8,5260.5,0.0,120103.3,0.0,10259.3,135395.9,557678.5,693074.4,467681.2,1031900.8,140212.6,42
74.1,75552.0,31864.0,43688.0,20111.3,16722.6,6141.9,5262.5,0.0,120103.3,0.0,10259.4,135395.8,557675.1,693070.9,467684.6,1031900.8,140214.6,42
75.1,75552.0,31864.0,43688.0,20115.6,16726.9,6146.1,5266.8,0.0,120103.3,0.0,10259.4,135395.9,557676.6,693072.6,467683.1,1031900.8,140218.9,42
76.1,75552.0,31864.0,43688.0,20111.6,16722.9,6142.1,5262.8,0.0,120103.3,0.0,10259.6,135395.8,557682.7,693078.5,467677.0,1031900.8,140214.9,42
77.1,75552.0,31864.0,43688.0,20091.6,16702.9,6122.1,5242.8,0.0,120103.3,0.0,10259.6,135395.8,557677.3,693073.1,467682.4,1031900.8,140194.9,42
78.1,75552.0,31864.0,43688.0,20103.8,16715.2,6134.4,5255.0,0.0,120103.3,0.0,10259.7,135396.9,557676.3,693073.2,467683.4,1031900.8,140207.1,42
79.1,75552.0,31864.0,43688.0,20105.8,16717.2,6136.4,5257.0,0.0,120103.3,0.0,10260.1,135395.9,557676.1,693072.0,467683.6,1031900.8,140209.1,42
80.1,75552.0,31864.0,43688.0,20059.8,16671.2,6090.4,5211.0,0.0,120103.3,0.0,10259.9,135395.8,557676.8,693072.6,467682.9,1031900.8,140163.1,42
81.1,75552.0,31864.0,43688.0,20099.8,16711.2,6130.4,5251.0,0.0,120103.3,0.0,10259.9,135395.8,557677.6,693073.4,467682.1,1031900.8,140203.1,42
82.1,75552.0,31864.0,43688.0,20111.9,16723.2,6142.4,5263.1,0.0,120103.3,0.0,10260.3,135395.9,557680.2,693076.1,467679.5,1031900.8,140215.2,42
83.1,75552.0,31864.0,43688.0,20111.9,16723.2,6142.4,5263.1,0.0,120103.3,0.0,10260.0,135395.8,557677.6,693073.5,467682.1,1031900.8,140215.2,42
84.1,75552.0,31864.0,43688.0,20109.9,16721.2,6140.4,5261.1,0.0,120103.3,0.0,10260.4,135395.8,557686.0,693081.8,467673.7,1031900.8,140213.2,42
85.1,75552.0,31864.0,43688.0,20116.5,16727.8,6147.0,5267.7,0.0,120103.3,0.0,10262.3,135396.3,557690.1,693086.4,467669.6,1031900.8,140219.8,42
86.1,75552.0,31864.0,43688.0,20114.0,16725.3,6144.5,5265.2,0.0,120103.3,0.0,10264.0,135395.9,557689.3,693085.2,467670.4,1031900.8,140217.3,42
87.1,75552.0,31864.0,43688.0,20116.0,16727.4,6146.6,5267.2,0.0,120103.3,0.0,10264.2,135395.9,557688.5,693084.4,467671.2,1031900.8,140219.4,42
88.1,75552.0,31864.0,43688.0,20112.0,16723.4,6142.6,5263.2,0.0,120103.3,0.0,10264.2,135395.9,557686.5,693082.4,467673.2,1031900.8,140215.4,42
89.1,75552.0,31864.0,43688.0,20114.2,16725.6,6144.8,5265.5,0.0,120103.3,0.0,10264.2,135395.8,557697.6,693093.4,467662.1,1031900.8,140217.6,42
90.1,75552.0,31864.0,43688.0,20114.3,16725.6,6144.8,5265.5,0.0,120103.3,0.0,10264.4,135395.8,557688.1,693083.9,467671.6,1031900.8,140217.6,42
91.1,75552.0,31864.0,43688.0,20114.3,16725.7,6144.9,5265.5,0.0,120103.3,0.0,10264.4,135395.8,557688.1,693083.9,467671.6,1031900.8,140217.6,42
92.1,75552.0,31864.0,43688.0,20108.3,16719.7,6138.9,5259.5,0.0,120103.3,0.0,10264.4,135395.9,557693.0,693088.8,467666.8,1031900.8,140211.7,42
93.1,75552.0,31864.0,43688.0,20114.5,16725.9,6145.1,5265.7,0.0,120103.3,0.0,10264.8,135396.0,557688.4,693084.4,467671.3,1031900.8,140217.9,42
94.1,75552.0,31864.0,43688.0,20114.6,16725.9,6145.1,5265.8,0.0,120103.3,0.0,10264.7,135396.0,557683.4,693079.4,467676.3,1031900.8,140217.9,42
95.1,75552.0,31864.0,43688.0,20114.6,16725.9,6145.1,5265.8,0.0,120103.3,0.0,10264.7,135396.0,557683.9,693079.8,467675.9,1031900.8,140217.9,42
96.1,75552.0,31864.0,43688.0,20119.3,16730.6,6149.8,5270.5,0.0,120103.3,0.0,10265.4,135395.9,557691.7,693087.6,467668.1,1031900.8,140222.6,42
97.1,75552.0,31864.0,43688.0,20119.3,16730.6,6149.8,5270.5,0.0,120103.3,0.0,10265.4,135395.9,557685.1,693081.0,467674.7,1031900.8,140222.6,42
98.1,75552.0,31864.0,43688.0,20115.3,16726.6,6145.8,5266.5,0.0,120103.3,0.0,10265.4,135395.8,557684.9,693080.7,467674.8,1031900.8,140218.6,42
99.1,75552.0,31864.0,43688.0,20115.3,16726.6,6145.8,5266.5,0.0,120103.3,0.0,10265.4,135395.9,557683.0,693078.8,467676.7,1031900.8,140218.6,42
100.1,75552.0,31864.0,43688.0,20119.3,16730.6,6149.8,5270.5,0.0,120103.3,0.0,10265.5,135396.0,557685.4,693081.4,467674.3,1031900.8,140222.6,42
101.1,75552.0,31864.0,43688.0,20123.3,16734.7,6153.9,5274.5,0.0,120103.3,0.0,10265.6,135395.9,557684.0,693079.9,467675.7,1031900.8,140226.7,42
102.1,75552.0,31864.0,43688.0,20121.3,16732.7,6151.9,5272.5,0.0,120103.3,0.0,10265.8,135395.9,557685.3,693081.2,467674.4,1031900.8,140224.7,42
