t_unix,elapsed_s,gpu_used_mb,gpu0_mb,gpu1_mb,gpu2_mb,gpu3_mb,host_used_mb,host_cached_mb
1784789910.0,215.9,82604,20823,20823,20479,20479,19660,20159
1784789911.1,217.0,82604,20823,20823,20479,20479,19660,20159
1784789912.2,218.0,82604,20823,20823,20479,20479,19659,20159
1784789913.3,219.1,82604,20823,20823,20479,20479,19658,20159
1784789914.3,220.2,82604,20823,20823,20479,20479,19660,20159
1784789915.4,221.3,82604,20823,20823,20479,20479,19660,20159
1784789916.4,222.3,82604,20823,20823,20479,20479,19659,20159
1784789917.5,223.4,82604,20823,20823,20479,20479,19658,20159
1784789918.6,224.5,82604,20823,20823,20479,20479,19659,20159
1784789919.7,225.6,82604,20823,20823,20479,20479,19660,20159
1784789920.7,226.6,82604,20823,20823,20479,20479,19658,20159
1784789921.8,227.7,82604,20823,20823,20479,20479,19657,20159
1784789922.9,228.8,82604,20823,20823,20479,20479,19659,20159
1784789924.0,229.9,82604,20823,20823,20479,20479,19654,20159
1784789925.0,230.9,82604,20823,20823,20479,20479,19656,20159
1784789926.1,232.0,82604,20823,20823,20479,20479,19656,20159
1784789927.2,233.1,82604,20823,20823,20479,20479,19654,20159
1784789928.3,234.1,82604,20823,20823,20479,20479,19653,20159
1784789929.3,235.2,82604,20823,20823,20479,20479,19655,20159
1784789930.4,236.3,82604,20823,20823,20479,20479,19653,20159
1784789931.5,237.3,82604,20823,20823,20479,20479,19653,20159
1784789932.5,238.4,82604,20823,20823,20479,20479,19656,20159
1784789933.6,239.5,82604,20823,20823,20479,20479,19657,20159
1784789934.7,240.6,82604,20823,20823,20479,20479,19656,20159
1784789935.8,241.6,82604,20823,20823,20479,20479,19655,20159
1784789936.8,242.7,82604,20823,20823,20479,20479,19655,20159
1784789937.9,243.8,82604,20823,20823,20479,20479,19655,20159
1784789938.9,244.8,82604,20823,20823,20479,20479,19653,20159
1784789940.0,245.9,82604,20823,20823,20479,20479,19655,20159
1784789941.1,247.0,82604,20823,20823,20479,20479,19650,20159
1784789942.2,248.0,82604,20823,20823,20479,20479,19649,20159
1784789943.2,249.1,82604,20823,20823,20479,20479,19650,20159
1784789944.3,250.2,82604,20823,20823,20479,20479,19651,20160
1784789945.3,251.2,82604,20823,20823,20479,20479,19653,20160
1784789946.4,252.3,82604,20823,20823,20479,20479,19652,20160
1784789947.5,253.4,82604,20823,20823,20479,20479,19652,20160
1784789948.6,254.5,82604,20823,20823,20479,20479,19653,20160
1784789949.7,255.5,82604,20823,20823,20479,20479,19653,20160
1784789950.7,256.6,82604,20823,20823,20479,20479,19652,20160
1784789951.8,257.7,82604,20823,20823,20479,20479,19652,20160
1784789952.9,258.7,82604,20823,20823,20479,20479,19652,20160
1784789953.9,259.8,82604,20823,20823,20479,20479,19650,20160
1784789955.0,260.8,82604,20823,20823,20479,20479,19648,20160
1784789956.1,261.9,82604,20823,20823,20479,20479,19650,20160
1784789957.1,263.0,82604,20823,20823,20479,20479,19652,20160
1784789958.2,264.1,82604,20823,20823,20479,20479,19651,20160
1784789959.2,265.1,82604,20823,20823,20479,20479,19650,20160
1784789960.3,266.2,82604,20823,20823,20479,20479,19651,20160
1784789961.4,267.2,82604,20823,20823,20479,20479,19647,20160
1784789962.4,268.3,82604,20823,20823,20479,20479,19651,20160
1784789963.5,269.4,82604,20823,20823,20479,20479,19650,20160
1784789964.6,270.5,82604,20823,20823,20479,20479,19651,20160
1784789965.7,271.5,82604,20823,20823,20479,20479,19651,20160
1784789966.7,272.6,82604,20823,20823,20479,20479,19651,20160
1784789967.8,273.7,82604,20823,20823,20479,20479,19648,20160
1784789968.8,274.7,82604,20823,20823,20479,20479,19652,20160
1784789969.9,275.8,82604,20823,20823,20479,20479,19654,20160
1784789971.0,276.8,82604,20823,20823,20479,20479,19654,20160
1784789972.0,277.9,82604,20823,20823,20479,20479,19655,20160
1784789973.1,279.0,82604,20823,20823,20479,20479,19653,20160
1784789974.1,280.0,82604,20823,20823,20479,20479,19656,20160
1784789975.2,281.1,82604,20823,20823,20479,20479,19651,20160
1784789976.3,282.1,82604,20823,20823,20479,20479,19651,20160
1784789977.3,283.2,82604,20823,20823,20479,20479,19652,20160
1784789978.4,284.3,82604,20823,20823,20479,20479,19652,20160
1784789979.5,285.3,82604,20823,20823,20479,20479,19657,20160
1784789980.5,286.4,82604,20823,20823,20479,20479,19657,20160
1784789981.6,287.5,82604,20823,20823,20479,20479,19657,20160
1784789982.7,288.5,82604,20823,20823,20479,20479,19657,20160
1784789983.7,289.6,82604,20823,20823,20479,20479,19655,20160
1784789984.8,290.7,82604,20823,20823,20479,20479,19656,20160
1784789985.9,291.8,82604,20823,20823,20479,20479,19656,20160
1784789986.9,292.8,82604,20823,20823,20479,20479,19656,20160
1784789988.0,293.9,82604,20823,20823,20479,20479,19656,20160
1784789989.1,294.9,82604,20823,20823,20479,20479,19656,20160
1784789990.1,296.0,82604,20823,20823,20479,20479,19655,20160
1784789991.2,297.1,82604,20823,20823,20479,20479,19655,20160
1784789992.3,298.1,82604,20823,20823,20479,20479,19656,20160
1784789993.3,299.2,82604,20823,20823,20479,20479,19657,20160
1784789994.4,300.3,82604,20823,20823,20479,20479,19657,20160
1784789995.4,301.3,82604,20823,20823,20479,20479,19660,20160
1784789996.5,302.4,82604,20823,20823,20479,20479,19658,20160
1784789997.6,303.5,82604,20823,20823,20479,20479,19659,20160
1784789998.7,304.5,82604,20823,20823,20479,20479,19658,20160
1784789999.7,305.6,82604,20823,20823,20479,20479,19655,20160
1784790000.8,306.7,82604,20823,20823,20479,20479,19657,20160
1784790001.9,307.7,82604,20823,20823,20479,20479,19684,20163
1784790002.9,308.8,82604,20823,20823,20479,20479,19681,20163
1784790004.0,309.9,82604,20823,20823,20479,20479,19693,20163
1784790005.1,311.0,82604,20823,20823,20479,20479,19692,20163
1784790006.2,312.0,82604,20823,20823,20479,20479,19692,20163
1784790007.2,313.1,82604,20823,20823,20479,20479,19692,20163
1784790008.3,314.2,82604,20823,20823,20479,20479,19693,20163
1784790009.4,315.3,82604,20823,20823,20479,20479,19693,20163
1784790010.5,316.3,82604,20823,20823,20479,20479,19692,20163
1784790011.5,317.4,82604,20823,20823,20479,20479,19691,20163
1784790012.6,318.5,82604,20823,20823,20479,20479,19689,20163
1784790013.6,319.5,82604,20823,20823,20479,20479,19688,20163
1784790014.7,320.6,82604,20823,20823,20479,20479,19688,20163
1784790015.8,321.7,82604,20823,20823,20479,20479,19690,20163
1784790016.9,322.8,82604,20823,20823,20479,20479,19688,20163
1784790017.9,323.8,82604,20823,20823,20479,20479,19682,20163
1784790019.0,324.9,82604,20823,20823,20479,20479,19682,20163
1784790020.1,326.0,82604,20823,20823,20479,20479,19682,20163
1784790021.2,327.0,82604,20823,20823,20479,20479,19684,20163
1784790022.2,328.1,82604,20823,20823,20479,20479,19684,20163
1784790023.3,329.2,82604,20823,20823,20479,20479,19683,20163
1784790024.4,330.3,82604,20823,20823,20479,20479,19685,20163
