t_s,P0_use,P0_used_tok,P0_running,P0_cap_tok,P0_pressure,P0_hit,D0_use,D0_used_tok,D0_running,D0_cap_tok,D0_pressure,D0_hit
# roles: P0:P D0:D
# metric: P0:cache_occupancy D0:unreachable
128.02,0.3066,32195,0,105000,0.3066,0.0000,0.1914,38669,1,202000,0.1914,0.0000
128.52,0.2458,25814,0,105000,0.2458,0.0000,0.1914,38669,1,202000,0.1914,0.0000
129.02,0.3076,32293,0,105000,0.3076,0.0000,0.1914,38669,1,202000,0.1914,0.0000
129.52,0.3068,32211,0,105000,0.3068,0.0000,0.1916,38702,1,202000,0.1916,0.0000
130.02,0.3677,38612,0,105000,0.3677,0.0000,0.1916,38702,1,202000,0.1916,0.0000
130.52,0.3675,38587,0,105000,0.3675,0.0000,0.1916,38702,1,202000,0.1916,0.0000
131.02,0.3676,38598,0,105000,0.3676,0.0000,0.1916,38702,1,202000,0.1916,0.0000
131.52,0.3676,38598,0,105000,0.3676,0.0000,0.2228,45014,1,202000,0.2228,0.0000
132.02,0.3670,38540,0,105000,0.3670,0.0000,0.2228,45014,1,202000,0.2228,0.0000
132.52,0.3663,38462,0,105000,0.3663,0.0000,0.2228,45014,1,202000,0.2228,0.0000
133.02,0.3663,38462,0,105000,0.3663,0.0000,0.2228,45014,1,202000,0.2228,0.0000
133.52,0.3663,38462,0,105000,0.3663,0.0000,0.2221,44861,1,202000,0.2221,0.0000
134.02,0.3662,38452,0,105000,0.3662,0.0000,0.2221,44861,1,202000,0.2221,0.0000
134.52,0.3662,38452,0,105000,0.3662,0.0000,0.2221,44861,1,202000,0.2221,0.0000
135.02,0.3048,31999,0,105000,0.3048,0.0000,0.2221,44861,1,202000,0.2221,0.0000
135.52,0.3048,31999,0,105000,0.3048,0.0000,0.2221,44861,1,202000,0.2221,0.0000
