elapsed_s,gpu_hbm_mb,proc_rss_mb,proc_anon_mb,proc_pss_mb,proc_pss_anon_mb,proc_locked_mb,file_cache_mb,hicache_dir_mb,anonpages_mb,reclaimable_mb,nonreclaimable_mb,mem_used_mb,mem_avail_mb,mem_total_mb,n_pids
238.5,0.0,129722.9,119148.4,77367.3,76242.2,0.0,19493.7,1459.7,89697.2,21337.5,92750.0,115598.1,33173.0,128652.3,148
240.6,0.0,129722.2,119148.4,77367.2,76242.2,0.0,19204.8,1459.7,90039.9,21050.3,92983.8,115523.7,32960.2,128652.3,148
242.4,0.0,129722.2,119148.4,77367.2,76242.2,0.0,18884.3,1459.7,89668.2,20725.1,92527.3,114717.8,33440.9,128652.3,148
244.4,0.0,129722.2,119148.4,77367.1,76242.2,0.0,18767.7,1469.8,90337.1,20605.3,93336.1,115398.1,32640.8,128652.3,148
246.6,0.0,129722.2,119148.4,77367.1,76242.2,0.0,18508.4,1469.8,90703.5,20347.6,93681.4,115466.7,32314.5,128652.3,148
248.6,0.0,129723.1,119149.2,77367.9,76243.0,0.0,18388.8,1469.8,91455.7,20225.9,94354.2,116008.3,31651.2,128652.3,148
250.3,0.0,129723.1,119149.2,77368.0,76243.1,0.0,18256.8,1469.8,92221.6,20105.7,95076.9,116600.8,30938.6,128652.3,148
252.4,0.0,129723.1,119149.2,77368.0,76243.1,0.0,18129.7,1469.8,92937.1,19965.3,95894.0,117269.3,30129.6,128652.3,148
254.2,0.0,129723.1,119149.2,77368.0,76243.1,0.0,17980.5,1469.8,93804.2,19814.8,96699.0,117912.7,29335.8,128652.3,148
256.3,0.0,129723.3,119149.5,77368.2,76243.3,0.0,17469.1,1480.8,93211.9,19303.6,96169.2,116834.1,29903.0,128652.3,148
258.5,0.0,129723.7,119149.8,77368.5,76243.6,0.0,17197.8,1480.8,92050.9,19030.9,95243.9,115607.7,30856.8,128652.3,148
260.8,0.0,129724.5,119150.6,77369.3,76244.4,0.0,16985.4,1480.8,92148.5,18820.5,95609.1,115748.7,30505.5,128652.3,148
262.4,0.0,129724.5,119150.6,77369.3,76244.4,0.0,16881.1,1480.8,92715.2,18714.4,95921.6,115945.5,30202.5,128652.3,148
264.5,0.0,129725.0,119151.1,77369.8,76244.9,0.0,16635.4,1480.8,92982.9,18469.4,96313.7,116071.1,29831.9,128652.3,148
266.5,0.0,129725.0,119151.2,77369.8,76245.0,0.0,16399.9,1488.8,93272.4,18232.2,96263.5,115766.7,29899.1,128652.3,148
268.6,0.0,129725.3,119151.5,77370.1,76245.3,0.0,16274.1,1488.8,94064.6,18104.3,97243.7,116610.0,28927.3,128652.3,148
271.3,0.0,129726.4,119152.9,77371.5,76246.7,0.0,15724.5,1488.8,92754.2,17571.2,95811.1,114602.1,30402.7,128652.3,148
273.2,0.0,129152.8,119154.8,77327.4,76248.6,0.0,15661.7,1488.8,93160.6,17493.2,96389.9,115099.3,29827.4,128652.3,148
275.3,0.0,127309.2,119171.3,77213.0,76265.1,0.0,15488.7,1488.8,94305.5,17330.3,97311.1,115841.7,28922.2,128652.3,148
277.2,0.0,123741.0,119173.7,77130.5,76267.5,0.0,15238.5,1499.8,94694.4,17072.7,97884.7,116132.4,28373.9,128652.3,148
279.4,0.0,123157.8,119176.2,77107.2,76270.0,0.0,14728.7,1499.8,94093.8,16556.0,97259.4,114949.6,29040.0,128652.3,148
281.7,0.0,123122.3,119176.2,77105.9,76270.0,0.0,14292.5,1499.8,93228.2,16121.9,96345.0,113567.3,29988.2,128652.3,148
283.6,0.0,123103.1,119176.2,77104.9,76270.0,0.0,14227.4,1499.8,93667.3,16054.7,97049.1,114199.3,29289.0,128652.3,148
285.5,0.0,123092.0,119176.2,77104.7,76270.0,0.0,14129.4,1499.8,94380.7,15962.2,97716.5,114767.8,28628.0,128652.3,148
287.6,0.0,123060.3,119176.2,77102.4,76270.0,0.0,13490.2,1507.8,92592.2,15317.8,95772.8,112132.2,30619.2,128652.3,148
289.7,0.0,122954.3,119176.2,77096.6,76270.0,0.0,13380.0,1507.8,92830.2,15205.5,96166.0,112402.7,30236.9,128652.3,148
291.6,0.0,122913.5,119173.1,77093.3,76269.9,0.0,13189.5,1507.8,93084.2,14953.3,96937.4,112900.4,29486.6,128652.3,148
293.7,0.0,122907.9,119173.6,77093.6,76270.4,0.0,13053.8,1507.8,93985.3,14816.8,97268.5,113084.9,29165.5,128652.3,148
295.7,0.0,122891.1,119173.6,77093.3,76270.4,0.0,12931.8,1507.8,94799.7,14703.1,98200.4,113894.1,28242.0,128652.3,148
297.6,0.0,122886.1,119174.0,77093.4,76270.8,0.0,12811.1,1514.6,95592.8,14575.2,99168.9,114724.9,27283.9,128652.3,148
299.6,0.0,122872.8,119174.0,77092.7,76270.8,0.0,12559.6,1514.6,95999.0,14321.5,99777.7,115061.7,26693.4,128652.3,148
301.6,0.0,122855.1,119174.0,77090.9,76270.8,0.0,12285.2,1514.6,96251.1,13961.4,99846.4,114749.5,26609.5,128652.3,148
303.6,0.0,122841.5,119173.5,77090.7,76270.7,0.0,12224.4,1514.6,96614.9,13900.0,100141.6,114975.6,26322.0,128652.3,148
305.6,0.0,122825.0,119172.5,77089.6,76270.7,0.0,11945.4,1514.6,96075.5,13631.7,99415.0,113964.1,27065.2,128652.3,148
307.6,0.0,122809.7,119172.4,77089.0,76270.7,0.0,11825.9,1525.6,97006.8,13499.9,100408.8,114816.9,26080.6,128652.3,148
309.8,0.0,122786.7,119172.4,77087.6,76270.7,0.0,11206.5,1525.6,97683.6,12878.6,101322.3,115062.4,25213.8,128652.3,148
311.9,0.0,122746.4,119172.4,77085.3,76270.7,0.0,10925.3,1525.6,98357.0,12600.7,101902.1,115344.6,24653.7,128652.3,148
313.8,0.0,122718.8,119172.5,77084.7,76270.7,0.0,10712.7,1525.6,98638.3,12386.3,102213.3,115425.8,24358.2,128652.3,148
316.0,0.0,122628.8,119107.1,77073.5,76261.3,0.0,10438.4,1525.6,99312.5,12119.6,102736.3,115659.7,23857.5,128652.3,148
318.3,0.0,117158.2,113753.3,76884.3,76073.4,0.0,10032.9,1534.6,97731.1,11703.0,101324.2,113790.1,25310.5,128652.3,148
321.2,0.0,112875.8,109584.4,75733.8,74924.9,0.0,9579.4,1534.6,95396.8,11258.1,98956.3,110946.6,27709.1,128652.3,148
